Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
158802907, Article tags should be present in all relevant views,front-end,,,,feature,1,unscheduled,"Jul 3, 2018",,,Alpha Ogilo,"**Why this is important**
Tagging refers to the metadata that is assigned to a piece of content by the content creator and the readers/users of the content. Tagging allows for organization and or categorization of content

**As a User**
I want to be able to view various article tags to enable easy filtering and navigation to articles of interest 

**Acceptance Criteria**
Scenario:
Only **authenticated** users should be able to tag articles .",https://www.pivotaltracker.com/story/show/158802907,
159034805,Users should be able to share articles on social media and via email,"front-end, social-sharing",,,,feature,2,unscheduled,"Jul 13, 2018",,,franklinchieze,"**Why this is important**
The ability to share/tweet/post an article on social media and through email increases the reach of the article and, hence, the popularity of the platform.

**As a User**
I want to be able to share/post/tweet articles on social media platforms like Facebook and Twitter.
",https://www.pivotaltracker.com/story/show/159034805,
158803024,Users should be able to follow each other,"follow authors functionality, front-end",,,,feature,1,unscheduled,"Jul 3, 2018",,,Alpha Ogilo,"**Why this is important**
We are a community of like minded authors/content creators.Lets keep tabs by following each other and by extension the articles we author.

**As a User**
I want to be able to follow and or unfollow other authors. 

**Acceptance Criteria**
Scenario 1:
Only **authenticated** users should be able to follow and or unfollow other users.

Scenario 2:
I need a view to manage those I follow and be able to see those who follow me
",https://www.pivotaltracker.com/story/show/158803024,
159040867,Users should be able to view notifications,"front-end, notifications",,,,feature,2,unscheduled,"Jul 13, 2018",,,franklinchieze,"**Why this is important**
Notifications give users to opportunity to know what they may have missed which may be important to them.

**As a User**
I want to be able to view notifications that are relevant to me.

I want to be able to see a _badge_ UI component that shows how many new notifications I have.
",https://www.pivotaltracker.com/story/show/159040867,
159041772,Users should be able to opt in and out of notifications,"front-end, notifications",,,,feature,2,unscheduled,"Jul 13, 2018",,,franklinchieze,"**Why this is important**
Notifications give users to opportunity to know what they may have missed which may be important to them. However, forcing notifications on users may be seen as annoying. Users should have the ability to opt in and out of (or turn on and off) notifications.

**As a User**
I want to be able to opt in and out of (or turn on and off) notifications.",https://www.pivotaltracker.com/story/show/159041772,
158801112,Add Search Functionality and Custom filtering based on parameters,"",,,,feature,3,unscheduled,"Jul 3, 2018",,,Alpha Ogilo,"**Why this is important**
Looking for article(s) in their dozens can be daunting. Would it be easier if we had a search functionality with custom filters? I bet it would.These filters avail the members to create a search criterion of their own which helps them to narrow it down if they don’t know the title exactly.

**As a User**
I want to be able to search for articles by author, article title and tag/keyword or search by filtering.
Users would be able to filter articles by author, article title and tag/keywords, this would ensure a user only gets an article that matches ONLY the criteria that matches the criteria for the article they want.

Note:
If only author is supplied - the filter will only filter by author

If only tag is supplied - the filter will only filter by tag

if only keywords are supplied, the filter will only filter by keywords

If any of the above is supplied, the filter filters by the supplied filters

**Acceptance Criteria**
Scenario:
Any user (authenticated or not) should be able to search for articles on our platform .",https://www.pivotaltracker.com/story/show/158801112,
159950063,Users should be able to see time it takes to read an article,"algorithms, front-end",,,,feature,1,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,,https://www.pivotaltracker.com/story/show/159950063,
159950094,Bookmark articles for reading later,"",,,,feature,1,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,"Users should be able to bookmark articles for reading later via a bookmark tab, button or link",https://www.pivotaltracker.com/story/show/159950094,
159950186,List Bookmarked articles,"bookmarking, front-end",,,,feature,2,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,An authenticated user should be able to see all his bookmarked articles in his/her profile and navigate to them,https://www.pivotaltracker.com/story/show/159950186,
159950225,Users should be able to report an article,"escalation, front-end",,,,feature,1,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,As an authenticated user i should be able to report articles that violate terms of agreement or are plagiarised to the authors haven admin for removal and or any other actions as per the terms of engagement. Lets get creative in the way that we display the ability to do reporting on the frontend,https://www.pivotaltracker.com/story/show/159950225,
159950344,Users should be able to highlight and comment on any text in an article,"css, front-end, html, jsx",,,,feature,3,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,As a user i should be able to highlight any text in an article(created by me or not) and comment on it via a text box and or any visual representation of your choice ,https://www.pivotaltracker.com/story/show/159950344,
159950432,Comments should be able to track edit history,"",,,,feature,3,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,As a user of authors haven in should be able to see the previous versions of comments made on an article after previous edits,https://www.pivotaltracker.com/story/show/159950432,
159950471,Users should be able to like a specific comment,"crud, front-end",,,,feature,2,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,,https://www.pivotaltracker.com/story/show/159950471,
159950502,Users should be able to see their reading stats,front-end,,,,feature,1,unscheduled,"Aug 22, 2018",,,Alpha Ogilo,,https://www.pivotaltracker.com/story/show/159950502,
